what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355970979078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355970985975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355970990372
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355970991345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355970994998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971007816
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355971007928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1355971022623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971025780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971026338
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1355971026506
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355971028421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1355971030792
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1355971031902
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1355971035135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971038048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971043630
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355971044605
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355971046416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971047186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971066125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1355971068365
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971070353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971070755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971075570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971084474
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355971084575
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355971096422
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971099003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971105706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971108118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971109324
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355971109416
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1355971117021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971118867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971120690
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355971124619
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971127099
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971130545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971131134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971132982
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355971133063
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971134771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971136338
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1355971167008
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1355971167295
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1355971167474
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1355971169360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971172995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971203043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971204531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971218745
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355971218864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971228897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971229290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971230658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971235746
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1355971237937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971242378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971259274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971267466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355971268816
